persid,most_used_mode
Y24H5780405P02,Vehicle Driver
Y24H5780405P03,Walking
Y24H5780405P04,Walking
Y24H5780406P01,Bicycle
Y24H5780406P02,Vehicle Driver
Y24H5780407P01,Bicycle
Y24H5780407P02,Walking
Y24H5780411P01,Vehicle Driver
Y24H5780411P02,Vehicle Passenger
Y24H5780414P01,Vehicle Passenger
Y24H5780414P02,Walking
Y24H5780414P03,Vehicle Passenger
Y24H5780414P04,Vehicle Passenger
Y24H5780416P02,Vehicle Driver
Y24H5780416P04,Walking
Y24H5780417P01,Vehicle Driver
Y24H5780417P02,Bicycle
Y24H5780417P03,Walking
Y24H5780417P04,Walking
Y24H5780419P01,Vehicle Driver
Y24H5780426P01,Walking
Y24H5780427P01,Rideshare Service
Y24H5780431P01,Walking
Y24H5780432P01,Tram
Y24H5780434P01,Vehicle Driver
Y24H5780434P02,Vehicle Passenger
Y24H5780436P01,Train
Y24H5780436P02,Vehicle Driver
Y24H5780440P01,Walking
Y24H5780440P03,Walking
Y24H5790103P01,Vehicle Driver
Y24H5790103P02,Vehicle Driver
Y24H5790103P03,Vehicle Passenger
Y24H5790105P01,Vehicle Driver
Y24H5790105P02,Vehicle Driver
Y24H5790106P01,Vehicle Driver
Y24H5790106P02,Vehicle Driver
Y24H5790106P03,Vehicle Passenger
Y24H5790109P01,Public Bus
Y24H5790109P02,Vehicle Driver
Y24H5790109P03,Vehicle Passenger
Y24H5790114P01,Bicycle
Y24H5790114P02,Vehicle Driver
Y24H5790114P03,Vehicle Passenger
Y24H5790114P04,Vehicle Passenger
Y24H5790122P01,Vehicle Driver
Y24H5790122P03,Vehicle Passenger
Y24H5790123P01,Vehicle Driver
Y24H5790123P02,Vehicle Driver
Y24H5790123P03,Vehicle Passenger
Y24H5790124P02,Vehicle Driver
Y24H5790124P03,Vehicle Passenger
Y24H5790124P04,Vehicle Passenger
Y24H5790125P02,Vehicle Driver
Y24H5790125P03,Vehicle Driver
Y24H5790125P04,Vehicle Passenger
Y24H5790128P01,Vehicle Driver
Y24H5790129P01,Train
Y24H5790129P02,Vehicle Driver
Y24H5790133P01,Vehicle Driver
Y24H5790133P02,Vehicle Passenger
Y24H5790134P01,Vehicle Driver
Y24H5790135P01,Vehicle Driver
Y24H5790135P02,Vehicle Passenger
Y24H5790135P03,Public Bus
Y24H5790135P04,Vehicle Passenger
Y24H5790139P01,Vehicle Driver
Y24H5790141P01,Vehicle Driver
Y24H5790141P02,Vehicle Driver
Y24H5790141P03,Walking
Y24H5790141P04,Vehicle Passenger
Y24H5790142P01,Walking
Y24H5790142P02,Vehicle Driver
Y24H5790203P01,Walking
Y24H5790206P01,Vehicle Driver
Y24H5790206P02,Walking
Y24H5790206P03,Walking
Y24H5790208P01,Vehicle Driver
Y24H5790208P02,Walking
Y24H5790208P03,Vehicle Passenger
Y24H5790208P04,Vehicle Passenger
Y24H5790210P01,Vehicle Driver
Y24H5790210P02,Walking
Y24H5790212P01,Vehicle Driver
Y24H5790212P02,Vehicle Driver
Y24H5790212P03,Vehicle Driver
Y24H5790212P04,Train
Y24H5790214P01,Vehicle Driver
Y24H5790214P02,Vehicle Passenger
Y24H5790214P03,Vehicle Passenger
Y24H5790214P04,Vehicle Passenger
Y24H5790214P05,Vehicle Passenger
Y24H5790215P01,Vehicle Driver
Y24H5790215P02,Vehicle Driver
Y24H5790215P03,Vehicle Passenger
Y24H5790215P04,Vehicle Passenger
Y24H5790217P01,Vehicle Driver
Y24H5790217P03,Vehicle Passenger
Y24H5790217P04,Vehicle Passenger
Y24H5790218P01,Vehicle Driver
Y24H5790218P04,Bicycle
Y24H5790220P01,Vehicle Driver
Y24H5790222P01,Walking
Y24H5790223P02,Vehicle Driver
Y24H5790223P03,Vehicle Driver
Y24H5790223P06,Vehicle Passenger
Y24H5790224P01,Vehicle Driver
Y24H5790224P02,Vehicle Driver
Y24H5790224P03,Vehicle Passenger
Y24H5790227P01,Vehicle Passenger
Y24H5790227P02,Vehicle Driver
Y24H5790230P01,Vehicle Passenger
Y24H5790230P02,Vehicle Driver
Y24H5790230P03,Vehicle Passenger
Y24H5790230P04,Vehicle Passenger
Y24H5790232P01,Vehicle Driver
Y24H5790237P01,Vehicle Driver
Y24H5790237P02,Vehicle Driver
Y24H5790237P03,Walking
Y24H5790237P04,Vehicle Passenger
Y24H5790238P02,Vehicle Driver
Y24H5790239P01,Vehicle Driver
Y24H5790239P02,Walking
Y24H5790240P01,Vehicle Driver
Y24H5790240P04,Vehicle Passenger
Y24H5790240P05,Public Bus
Y24H5790240P06,Vehicle Passenger
Y24H5790240P07,Vehicle Passenger
Y24H5790302P01,Vehicle Driver
Y24H5790303P01,Vehicle Passenger
Y24H5790307P02,Vehicle Driver
Y24H5790311P01,Vehicle Driver
Y24H5790313P01,Vehicle Driver
Y24H5790316P01,Vehicle Driver
Y24H5790316P02,Vehicle Driver
Y24H5790316P03,Vehicle Driver
Y24H5790316P04,Vehicle Passenger
Y24H5790316P05,Vehicle Passenger
Y24H5790321P01,Bicycle
Y24H5790321P02,Bicycle
Y24H5790322P01,Walking
Y24H5790322P02,Walking
Y24H5790324P01,Vehicle Driver
Y24H5790327P01,Bicycle
Y24H5790327P02,Vehicle Driver
Y24H5790339P01,Vehicle Driver
Y24H5790502P01,Public Bus
Y24H5790502P02,Train
Y24H5790502P03,Bicycle
Y24H5790508P01,Vehicle Driver
Y24H5790508P02,Vehicle Driver
Y24H5790508P03,Vehicle Passenger
Y24H5790512P01,Vehicle Driver
Y24H5790513P01,Vehicle Driver
Y24H5790513P02,Vehicle Passenger
Y24H5790513P03,Vehicle Passenger
Y24H5790513P04,Vehicle Passenger
Y24H5790520P01,Vehicle Driver
Y24H5790520P02,Vehicle Passenger
Y24H5790530P03,Vehicle Driver
Y24H5790531P01,Vehicle Driver
Y24H5790531P02,Vehicle Driver
Y24H5790531P03,Vehicle Passenger
Y24H5790531P04,Vehicle Passenger
Y24H5790533P01,Public Bus
Y24H5790534P01,Vehicle Passenger
Y24H5790536P01,Vehicle Driver
Y24H5790538P01,Vehicle Driver
Y24H5790541P01,Vehicle Driver
Y24H5790542P01,Vehicle Passenger
Y24H5790542P03,Vehicle Driver
Y24H5800202P01,Vehicle Driver
Y24H5800202P04,Vehicle Driver
Y24H5800205P01,Vehicle Passenger
Y24H5800205P02,Vehicle Driver
Y24H5800207P01,Vehicle Passenger
Y24H5800207P02,Vehicle Driver
Y24H5800207P03,Vehicle Passenger
Y24H5800207P04,School Bus
Y24H5800209P01,Vehicle Passenger
Y24H5800210P01,Vehicle Passenger
Y24H5800210P02,Vehicle Driver
Y24H5800210P04,Vehicle Passenger
Y24H5800211P01,Vehicle Driver
Y24H5800215P01,Train
Y24H5800215P02,Vehicle Driver
Y24H5800215P03,Train
Y24H5800215P04,Vehicle Passenger
Y24H5800215P05,Vehicle Passenger
